Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Ja(æ)134 K,-[25]",05/12/2023,05:35 PM,05/12/2023,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
SO(w)314 SZie[9],06/12/2023,08:00 AM,06/12/2023,09:35 AM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
Sm(w)314 SJCh[7],06/12/2023,09:50 AM,06/12/2023,11:25 AM,False,Statystyka matematyczna - (Wyk³ad) - Chmaj Jerzy,academic grounds,True
FII(w)aF S[11],06/12/2023,11:40 AM,06/12/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[25]",07/12/2023,07:25 PM,07/12/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[9],08/12/2023,09:50 AM,08/12/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
FII(æ)205 65[7],11/12/2023,09:50 AM,11/12/2023,11:25 AM,False,Fizyka II - (Æwiczenia) -,academic grounds,True
"Ja(æ)134 K,-[26]",12/12/2023,05:35 PM,12/12/2023,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
Swb(w)316 SMu[7],12/12/2023,07:25 PM,12/12/2023,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
SO(w)314 SZie[10],13/12/2023,08:00 AM,13/12/2023,09:35 AM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
FII(w)aF S[12],13/12/2023,11:40 AM,13/12/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
FII(L)139 S[4],14/12/2023,08:00 AM,14/12/2023,09:35 AM,False,Fizyka II - (Laboratorium) -,academic grounds,True
Aok(w)314 SAr[10],14/12/2023,09:50 AM,14/12/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
FII(w)314 S[13],14/12/2023,01:30 PM,14/12/2023,03:05 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[26]",14/12/2023,07:25 PM,14/12/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[11],15/12/2023,09:50 AM,15/12/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
FII(æ)201 65[8],18/12/2023,01:30 PM,18/12/2023,03:05 PM,False,Fizyka II - (Æwiczenia) -,academic grounds,True
"Ja(æ)134 K,-[27]",19/12/2023,05:35 PM,19/12/2023,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
Swb(w)316 SMu[8],19/12/2023,07:25 PM,19/12/2023,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
SO(w)314 SZie[11],20/12/2023,08:00 AM,20/12/2023,09:35 AM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
Sm(w)314 SJCh[8],20/12/2023,09:50 AM,20/12/2023,11:25 AM,False,Statystyka matematyczna - (Wyk³ad) - Chmaj Jerzy,academic grounds,True
FII(w)aF S[14],20/12/2023,11:40 AM,20/12/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[27]",21/12/2023,07:25 PM,21/12/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[12],22/12/2023,09:50 AM,22/12/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
FII(æ)204 65[9],08/01/2024,01:30 PM,08/01/2024,03:05 PM,False,Fizyka II - (Æwiczenia) -,academic grounds,True
"Ja(æ)134 K,-[28]",09/01/2024,05:35 PM,09/01/2024,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
Swb(w)316 SMu[9],09/01/2024,07:25 PM,09/01/2024,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
SO(w)314 SZie[12],10/01/2024,08:00 AM,10/01/2024,09:35 AM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
FII(w)aF S[15],10/01/2024,11:40 AM,10/01/2024,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[28]",11/01/2024,07:25 PM,11/01/2024,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
"Ja(æ)134 K,-[29]",16/01/2024,05:35 PM,16/01/2024,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
SO(w)314 SZie[13],17/01/2024,08:00 AM,17/01/2024,09:35 AM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
"JoM(æ)233 K,-[29]",18/01/2024,07:25 PM,18/01/2024,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
FII(L)139 S[5],19/01/2024,03:45 PM,19/01/2024,05:20 PM,False,Fizyka II - (Laboratorium) -,academic grounds,True
FII(æ)309 S[10],22/01/2024,03:45 PM,22/01/2024,05:20 PM,False,Fizyka II - (Æwiczenia) -,academic grounds,True
"Ja(æ)134 K,-[30]",23/01/2024,05:35 PM,23/01/2024,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
Swb(w)316 SMu[10],23/01/2024,07:25 PM,23/01/2024,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
SO(w)314 SZie[14],24/01/2024,08:00 AM,24/01/2024,09:35 AM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
"JoM(æ)233 K,-[30]",25/01/2024,07:25 PM,25/01/2024,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
SO(w)314 SZie[15],31/01/2024,08:00 AM,31/01/2024,09:35 AM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
